Unnamed: 0,L1,L2,L3,Counterion,Abbreviation_in_the_article,Charge,Max_wavelength(nm),PLQY,tau(s*10^-6),Solvent,DOI,Notes
1,[C-]1=C(C2=CC=CC=N2)C=CC=C1,[C-]1=C(C2=CC=CC=N2)C=CC=C1,C1=CC=C2C(=C1)C1=C(C=CC=C1)N2C1=CC=C(C2=CC(C3=NC=CC(C4=CC=C(N5C6=CC=CC=C6C6=C5C=CC=C6)C=C4)=C3)=NC=C2)C=C1,PF6-,E1,1.0,598.0,0.11,,CH2Cl2,10.1007/s10904-024-03180-7,
2,[C-]1=C(C2=CC=CC=N2)C=CC=C1,[C-]1=C(C2=CC=CC=N2)C=CC=C1,CC(C)(C)C1=CC=C2C(=C1)C1=C(C=CC(C(C)(C)C)=C1)N2C1=CC=C(C2=CC(C3=NC=CC(C4=CC=C(N5C6=CC=C(C(C)(C)C)C=C6C6=C5C=CC(C(C)(C)C)=C6)C=C4)=C3)=NC=C2)C=C1,PF6-,E2,1.0,600.0,0.14,,CH2Cl2,10.1007/s10904-024-03180-7,
3,[C-]1=C(C2=CC=CC=N2)C=CC=C1,[C-]1=C(C2=CC=CC=N2)C=CC=C1,C1=CN=C(C2=CN(CCCCCCN3C4=CC=CC=C4C4=C3C=CC=C4)N=N2)C=C1,PF6-,E3,1.0,506.0,0.18,,CH2Cl2,10.1007/s10904-024-03180-7,
4,[C-]1=C(C2=NC=CC3=CC=CC=C23)C=CC=C1,[C-]1=C(C2=NC=CC3=CC=CC=C23)C=CC=C1,C1=CC=C2C(=C1)C1=C(C=CC=C1)N2C1=CC=C(C2=CC(C3=NC=CC(C4=CC=C(N5C6=CC=CC=C6C6=C5C=CC=C6)C=C4)=C3)=NC=C2)C=C1,PF6-,E4,1.0,594.0,0.07,,CH2Cl2,10.1007/s10904-024-03180-7,
5,[C-]1=C(C2=NC=CC3=CC=CC=C23)C=CC=C1,[C-]1=C(C2=NC=CC3=CC=CC=C23)C=CC=C1,CC(C)(C)C1=CC=C2C(=C1)C1=C(C=CC(C(C)(C)C)=C1)N2C1=CC=C(C2=CC(C3=NC=CC(C4=CC=C(N5C6=CC=C(C(C)(C)C)C=C6C6=C5C=CC(C(C)(C)C)=C6)C=C4)=C3)=NC=C2)C=C1,PF6-,E5,1.0,604.0,0.09,,CH2Cl2,10.1007/s10904-024-03180-7,
6,[C-]1=C(C2=NC=CC3=CC=CC=C23)C=CC=C1,[C-]1=C(C2=NC=CC3=CC=CC=C23)C=CC=C1,C1=CN=C(C2=CN(CCCCCCN3C4=CC=CC=C4C4=C3C=CC=C4)N=N2)C=C1,PF6-,E6,1.0,604.0,0.11,,CH2Cl2,10.1007/s10904-024-03180-7,
7,[C-]1=C(C2=CC=CC=N2)C=CC=C1,[C-]1=C(C2=CC=CC=N2)C=CC=C1,CC1=CC(C)=[N+]2C1=C(C1=NC(C3=NC=CC=C3)=CC=C1)C1=C(C)C=C(C)N1[B-]2(F)F,PF6-,4,1.0,602.0,0.06,0.069,THF,10.1002/jccs.202400207,
8,CCN(CC)C1=CC=C2[C-]=C(C3=NC4=CC=CC=C4S3)C(=O)OC2=C1,CCN(CC)C1=CC=C2[C-]=C(C3=NC4=CC=CC=C4S3)C(=O)OC2=C1,C1=CC=C(C2=NC=CC=C2)N=C1,PF6-,Ir1,1.0,590.0,,4.0,CH2Cl2,10.1016/j.jorganchem.2024.123349,
9,CCN(CC)C1=CC=C2[C-]=C(C3=NC4=CC=CC=C4S3)C(=O)OC2=C1,CCN(CC)C1=CC=C2[C-]=C(C3=NC4=CC=CC=C4S3)C(=O)OC2=C1,CC1=CC(C2=CC=CC=N2)=NC=C1,PF6-,Ir2,1.0,588.0,,4.4,CH2Cl2,10.1016/j.jorganchem.2024.123349,
10,CCN(CC)C1=CC=C2[C-]=C(C3=NC4=CC=CC=C4S3)C(=O)OC2=C1,CCN(CC)C1=CC=C2[C-]=C(C3=NC4=CC=CC=C4S3)C(=O)OC2=C1,CC1=CC(C2=CC(C)=CC=N2)=NC=C1,PF6-,Ir3,1.0,587.0,,5.2,CH2Cl2,10.1016/j.jorganchem.2024.123349,
11,CCN(CC)C1=CC=C2[C-]=C(C3=NC4=CC=CC=C4S3)C(=O)OC2=C1,CCN(CC)C1=CC=C2[C-]=C(C3=NC4=CC=CC=C4S3)C(=O)OC2=C1,CC1=CC=C(C2=CC=C(C)C=N2)N=C1,PF6-,Ir4,1.0,586.0,,5.1,CH2Cl2,10.1016/j.jorganchem.2024.123349,
12,C[N+]1=CC=C(C2=CC=C(C3=CC=C(C4=CC=[N+](C)C=C4)C=N3)[C-]=C2)C=C1,C[N+]1=CC=C(C2=CC=C(C3=CC=C(C4=CC=[N+](C)C=C4)C=N3)[C-]=C2)C=C1,C1=CN=C2C(=C1)C=CC1=C2N=CC=C1,(PF6-)5,1,5.0,603.0,0.068,1.227,CH3CN,10.1002/smtd.202400113,
13,[C-]1=C(C2=CC=C(C3=CC=NC=C3)C=N2)C=CC(C2=CC=NC=C2)=C1,[C-]1=C(C2=CC=C(C3=CC=NC=C3)C=N2)C=CC(C2=CC=NC=C2)=C1,C1=CN=C2C(=C1)C=CC1=C2N=CC=C1,PF6-,1a,1.0,544.0,0.176,1.679,CH3CN,10.1002/smtd.202400113,
14,C[N+]1=CC=C(C2=CC=C(C3=CC=C(C4=CC=[N+](C)C=C4)C=N3)[C-]=C2)C=C1,C[N+]1=CC=C(C2=CC=C(C3=CC=C(C4=CC=[N+](C)C=C4)C=N3)[C-]=C2)C=C1,COC1=CC=NC(C2=NC=CC(OC)=C2)=C1,(PF6-)5,2,5.0,611.0,0.071,0.87,CH3CN,10.1002/smtd.202400113,
15,[C-]1=C(C2=CC=C(C3=CC=NC=C3)C=N2)C=CC(C2=CC=NC=C2)=C1,[C-]1=C(C2=CC=C(C3=CC=NC=C3)C=N2)C=CC(C2=CC=NC=C2)=C1,COC1=CC=NC(C2=NC=CC(OC)=C2)=C1,PF6-,2a,1.0,547.0,0.167,1.563,CH3CN,10.1002/smtd.202400113,
16,C[N+]1=CC=C(C2=CC=C(C3=CC=C(C4=CC=[N+](C)C=C4)C=N3)[C-]=C2)C=C1,C[N+]1=CC=C(C2=CC=C(C3=CC=C(C4=CC=[N+](C)C=C4)C=N3)[C-]=C2)C=C1,CCOC1=CC(C2=CC(OCC)=CC=N2)=NC=C1,(PF6-)5,3,5.0,611.0,0.047,0.71,CH3CN,10.1002/smtd.202400113,
17,[C-]1=C(C2=CC=C(C3=CC=NC=C3)C=N2)C=CC(C2=CC=NC=C2)=C1,[C-]1=C(C2=CC=C(C3=CC=NC=C3)C=N2)C=CC(C2=CC=NC=C2)=C1,CCOC1=CC(C2=CC(OCC)=CC=N2)=NC=C1,PF6-,3a,1.0,547.0,0.152,1.934,CH3CN,10.1002/smtd.202400113,
18,C[N+]1=CC=C(C2=CC=C(C3=CC=C(C4=CC=[N+](C)C=C4)C=N3)[C-]=C2)C=C1,C[N+]1=CC=C(C2=CC=C(C3=CC=C(C4=CC=[N+](C)C=C4)C=N3)[C-]=C2)C=C1,O=C([O-])C1=NC=CC=C1,(PF6-)4,4,4.0,659.0,0.019,0.173,CH3CN,10.1002/smtd.202400113,
19,[C-]1=C(C2=CC=C(C3=CC=NC=C3)C=N2)C=CC(C2=CC=NC=C2)=C1,[C-]1=C(C2=CC=C(C3=CC=NC=C3)C=N2)C=CC(C2=CC=NC=C2)=C1,O=C([O-])C1=NC=CC=C1,,4a,0.0,563.0,0.067,0.936,CH3CN,10.1002/smtd.202400113,
20,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2C=C1,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2C=C1,C[N+]1=CC=C(C2=CC=C(C3=CC=C(C4=CC=[N+](C)C=C4)C=N3)[C-]=C2)C=C1,(PF6-)2,5,2.0,,,,CH3CN,10.1002/smtd.202400113,
21,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2C=C1,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2C=C1,[C-]1=C(C2=CC=C(C3=CC=NC=C3)C=N2)C=CC(C2=CC=NC=C2)=C1,,5a,0.0,603.0,0.02,0.461,CH3CN,10.1002/smtd.202400113,
22,[C-]1=C(C2=CC=CC=N2)C=CC=C1,[C-]1=C(C2=CC=CC=N2)C=CC=C1,O=P([N-]C1=CC=CC=N1)(C1=CC=CC=C1)C1=CC=CC=C1,,1a (ppy)2Ir(dpppy),0.0,509.0,0.0005,1.39,CH2Cl2,10.1016/j.ica.2024.122102,
23,[C-]1=C(C2=CC=CC=N2)C=CC=C1,[C-]1=C(C2=CC=CC=N2)C=CC=C1,O=P([N-]C1=CC=C2C=CC=CC2=N1)(C1=CC=CC=C1)C1=CC=CC=C1,,1b (ppy)2Ir(dppq),,506.0,0.0003,1.77,CH2Cl2,10.1016/j.ica.2024.122102,
24,FC1=CC(F)=C(C2=CC=CC=N2)[C-]=C1,FC1=CC(F)=C(C2=CC=CC=N2)[C-]=C1,O=P([N-]C1=CC=CC=N1)(C1=CC=CC=C1)C1=CC=CC=C1,,2a (dfppy)2Ir(dpppy),,479.0,0.0003,1.98,CH2Cl2,10.1016/j.ica.2024.122102,
25,FC1=CC(F)=C(C2=CC=CC=N2)[C-]=C1,FC1=CC(F)=C(C2=CC=CC=N2)[C-]=C1,O=P([N-]C1=CC=C2C=CC=CC2=N1)(C1=CC=CC=C1)C1=CC=CC=C1,,2b (dfppy)2Ir(dppq),,478.0,6e-05,1.89,CH2Cl2,10.1016/j.ica.2024.122102,
26,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2C=C1,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2C=C1,O=P([N-]C1=CC=CC=N1)(C1=CC=CC=C1)C1=CC=CC=C1,,3a (piq)2Ir(dpppy),,620.0,0.3,3.13,CH2Cl2,10.1016/j.ica.2024.122102,
27,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2C=C1,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2C=C1,O=P([N-]C1=CC=C2C=CC=CC2=N1)(C1=CC=CC=C1)C1=CC=CC=C1,,3b (piq)2Ir(dppq),,618.0,0.45,3.0,CH2Cl2,10.1016/j.ica.2024.122102,
