sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species,species_name,petal_area
5.1,3.5,1.4,0.2,0,setosa,0.27999999999999997
4.9,3.0,1.4,0.2,0,setosa,0.27999999999999997
4.7,3.2,1.3,0.2,0,setosa,0.26
4.6,3.1,1.5,0.2,0,setosa,0.30000000000000004
5.0,3.6,1.4,0.2,0,setosa,0.27999999999999997
5.4,3.9,1.7,0.4,0,setosa,0.68
4.6,3.4,1.4,0.3,0,setosa,0.42
5.0,3.4,1.5,0.2,0,setosa,0.30000000000000004
4.4,2.9,1.4,0.2,0,setosa,0.27999999999999997
4.9,3.1,1.5,0.1,0,setosa,0.15000000000000002
5.4,3.7,1.5,0.2,0,setosa,0.30000000000000004
4.8,3.4,1.6,0.2,0,setosa,0.32000000000000006
4.8,3.0,1.4,0.1,0,setosa,0.13999999999999999
4.3,3.0,1.1,0.1,0,setosa,0.11000000000000001
5.8,4.0,1.2,0.2,0,setosa,0.24
5.7,4.4,1.5,0.4,0,setosa,0.6000000000000001
5.4,3.9,1.3,0.4,0,setosa,0.52
5.1,3.5,1.4,0.3,0,setosa,0.42
5.7,3.8,1.7,0.3,0,setosa,0.51
5.1,3.8,1.5,0.3,0,setosa,0.44999999999999996
5.4,3.4,1.7,0.2,0,setosa,0.34
5.1,3.7,1.5,0.4,0,setosa,0.6000000000000001
4.6,3.6,1.0,0.2,0,setosa,0.2
5.1,3.3,1.7,0.5,0,setosa,0.85
4.8,3.4,1.9,0.2,0,setosa,0.38
5.0,3.0,1.6,0.2,0,setosa,0.32000000000000006
5.0,3.4,1.6,0.4,0,setosa,0.6400000000000001
5.2,3.5,1.5,0.2,0,setosa,0.30000000000000004
5.2,3.4,1.4,0.2,0,setosa,0.27999999999999997
4.7,3.2,1.6,0.2,0,setosa,0.32000000000000006
4.8,3.1,1.6,0.2,0,setosa,0.32000000000000006
5.4,3.4,1.5,0.4,0,setosa,0.6000000000000001
5.2,4.1,1.5,0.1,0,setosa,0.15000000000000002
5.5,4.2,1.4,0.2,0,setosa,0.27999999999999997
4.9,3.1,1.5,0.2,0,setosa,0.30000000000000004
5.0,3.2,1.2,0.2,0,setosa,0.24
5.5,3.5,1.3,0.2,0,setosa,0.26
4.9,3.6,1.4,0.1,0,setosa,0.13999999999999999
4.4,3.0,1.3,0.2,0,setosa,0.26
5.1,3.4,1.5,0.2,0,setosa,0.30000000000000004
5.0,3.5,1.3,0.3,0,setosa,0.39
4.5,2.3,1.3,0.3,0,setosa,0.39
4.4,3.2,1.3,0.2,0,setosa,0.26
5.0,3.5,1.6,0.6,0,setosa,0.96
5.1,3.8,1.9,0.4,0,setosa,0.76
4.8,3.0,1.4,0.3,0,setosa,0.42
5.1,3.8,1.6,0.2,0,setosa,0.32000000000000006
4.6,3.2,1.4,0.2,0,setosa,0.27999999999999997
5.3,3.7,1.5,0.2,0,setosa,0.30000000000000004
5.0,3.3,1.4,0.2,0,setosa,0.27999999999999997
7.0,3.2,4.7,1.4,1,versicolor,6.58
6.4,3.2,4.5,1.5,1,versicolor,6.75
