molecule_id,L1,L2,L3,wavelength,plqy,lifetime,temperature,solvent
MOL_0000,c1ccccc1,C1CCCCC1,CC(=O)O,489.47721667489645,0.7968450123265756,1.5166346312363257,75,thf
MOL_0001,CCC,c1ccc(O)cc1,CC(C)O,427.5170563945446,0.6730525614065047,1.708512008717193,100,thf
MOL_0002,CC,CC(=O)C,CC(=O)C,420.44443653223965,0.5972207086396655,1.5936365179563547,100,thf
MOL_0003,C1CCCCC1,C1CCCCC1,CC(=O)C,477.650489964573,0.9159488031037792,1.7788466043759203,75,water
MOL_0004,c1ccccc1,c1ccc(C)cc1,c1ccccc1,439.46560768539814,0.8319423611561837,1.955838526903001,100,water
MOL_0005,c1ccc(O)cc1,C1CCCCC1,CC(C)O,487.97804487300334,0.6370549546168044,1.6778697826512248,100,thf
MOL_0006,CCO,CC(C)CO,c1ccc(CC)cc1,420.77068563651636,0.6466657278508624,2.1647428676148484,50,ethanol
MOL_0007,CCC,CC(C)(C)O,C1CCC(O)CC1,454.0178554389906,0.754585954182543,1.7326833521364895,100,water
MOL_0008,c1ccc(O)cc1,C1CCC(O)CC1,CCC(=O)O,525.4740083366736,0.666185833833704,1.530664380527731,100,water
MOL_0009,c1ccc(C)cc1,C1CCCCC1,CCC(=O)O,492.3881746790579,0.5923077999694042,1.9223352577681736,100,dmso
MOL_0010,CC(=O)O,C1CCC(C)CC1,c1ccc(O)cc1,487.88664660217523,0.7954997797244736,2.058566821979085,25,thf
MOL_0011,c1ccccc1,c1ccc(C)cc1,c1ccc(O)cc1,467.5304521003008,0.6303664816870698,2.0776024358986116,75,dmso
MOL_0012,CCCO,CC(C)O,CC(=O)C,456.6959083846086,0.649656138432897,1.4924340246969037,50,dmso
MOL_0013,CC,CCCO,CC(C)(C)O,418.4839250994363,0.9172296253626673,1.7159218389865247,75,ethanol
MOL_0014,c1ccc(CC)cc1,CCC(=O)O,c1ccccc1,572.6705644122425,0.5574909111189136,1.643590434740032,75,water
MOL_0015,C1CCCCC1,CC(=O)O,CCC,488.4788613958187,0.6535753829476486,1.4216179324001923,75,ethanol
MOL_0016,CCO,c1ccc(CC)cc1,CCC(=O)O,417.7935596530533,0.7083834103190227,1.5035151506282174,100,ethanol
MOL_0017,CC(=O)O,c1ccccc1,CC,465.42304967521966,0.744992120406235,0.9377351548497781,25,thf
MOL_0018,CCC(=O)O,c1ccc(C)cc1,CC(C)O,480.10226913284924,0.6965412866624853,1.3169258515899172,75,ethanol
MOL_0019,CC(=O)C,C1CCCCC1,c1ccc(C)cc1,461.58709354469283,0.5937261686621786,2.070705438651677,50,thf
MOL_0020,CC(=O)C,c1ccccc1,CCO,454.83345758963515,0.7057415648719143,1.2871243898398066,75,water
