iter	Passed	Remaining
0	4	417
1	8	401
2	12	411
3	17	412
4	21	407
5	25	397
6	29	389
7	33	383
8	42	434
9	47	424
10	51	419
11	57	419
12	61	409
13	64	398
14	68	389
15	72	378
16	75	369
17	79	361
18	83	354
19	86	346
20	90	339
21	93	333
22	98	328
23	101	322
24	105	315
25	108	308
26	112	302
27	115	296
28	119	291
29	122	286
30	125	280
31	129	274
32	133	270
33	136	265
34	140	261
35	144	256
36	148	252
37	152	249
38	156	244
39	159	239
40	163	235
41	166	230
42	170	225
43	173	221
44	178	218
45	182	213
46	185	209
47	189	205
48	193	201
49	196	196
50	200	192
51	203	187
52	206	183
53	210	179
54	213	174
55	217	170
56	221	167
57	225	163
58	228	159
59	232	155
60	236	151
61	240	147
62	243	143
63	247	139
64	250	134
65	254	131
66	258	127
67	261	122
68	265	119
69	268	115
70	272	111
71	275	107
72	279	103
73	283	99
74	286	95
75	289	91
76	293	87
77	296	83
78	300	79
79	303	75
80	306	71
81	310	68
82	314	64
83	318	60
84	321	56
85	325	52
86	328	49
87	332	45
88	335	41
89	339	37
90	342	33
91	345	30
92	349	26
93	353	22
94	357	18
95	360	15
96	364	11
97	368	7
98	371	3
99	375	0
